               AR1sum    AR2sum    AR1max    AR2max    AR1xCe    AR2xCe    AR1yCe    AR2yCe
Sample_186   0.407354  0.359217  0.228250  0.352368  0.026144 -0.050861  0.290634 -0.114803
Sample_187   0.201090  0.646739  0.434298  0.257430 -0.051730 -0.038951 -0.007849 -0.003907
Sample_188   0.579682  0.316461  0.339480  0.370410 -0.013714 -0.022913  0.002039 -0.012976
Sample_189   0.390787  0.401061  0.382640  0.319652 -0.016818 -0.027858 -0.037170 -0.027765
Sample_190   0.731522  0.061232  0.766967 -0.176149 -0.052477 -0.014764 -0.102831 -0.021443
Sample_191   0.651653  0.176397  0.375889 -0.085087  0.018738 -0.040466  0.002876  0.012743
Sample_192   0.812214  0.071791  0.575246  0.190157 -0.020368 -0.019331 -0.009409 -0.016688
Sample_193   0.395411  0.488391  0.457270  0.200156 -0.031496 -0.021629  0.247000 -0.098632
Sample_194   0.604915  0.215210 -0.195440 -0.091820 -0.022585 -0.044246  0.096146 -0.088187
Sample_195   0.181184  0.697488  0.241440  0.081524 -0.021242 -0.019272  0.069884 -0.001393
Sample_196   0.791963  0.102163  0.494424  0.233165 -0.008137 -0.008594  0.041680 -0.060646
Sample_197   1.135871 -0.185423  0.776947  0.030185  0.011658 -0.014598  0.024006  0.000894
Sample_198   0.590188  0.211956  0.733907 -0.109750 -0.004432 -0.027763  0.079524  0.223330
Sample_199   0.993033 -0.156582  0.438128  0.299669 -0.044195 -0.016898  0.098290  0.018781
Sample_200   0.626056  0.207268  0.419660 -0.076562  0.033249  0.000434 -0.049516 -0.055424
Sample_201   0.562890  0.354533  0.322881  0.195273  0.001149 -0.056675  0.129676  0.212596
Sample_202   0.232209  0.418656  0.191776  0.506306 -0.019721 -0.008680  0.056515  0.036286
Sample_203   0.494102  0.377520  0.090084  0.359094  0.031095 -0.042294  0.095065  0.175171
Sample_204   0.551099  0.308163  0.190233  0.046239 -0.015811 -0.000427  0.050464 -0.000695
Sample_205   0.621137  0.263655  0.124415  0.463420 -0.006308 -0.072535  0.079559  0.247685
Sample_206   0.906486 -0.081464  0.456938  0.167918  0.023274 -0.003476  0.070775  0.040227
Sample_207   0.590932  0.224447  0.485937 -0.054091 -0.015541 -0.020516  0.108035  0.020402
Sample_208   0.676341  0.098726  0.449349  0.114123 -0.030993  0.020431  0.089581  0.010185
Sample_209   0.644570  0.219625  0.203588  0.249748 -0.038704 -0.045973  0.028410  0.015591
Sample_210   0.564276  0.166463  0.390180  0.076948 -0.026999 -0.039310  0.145351  0.072682
Sample_211   0.772373  0.125282  0.444169  0.325018 -0.004125 -0.041895  0.039962  0.023653
Sample_212   0.584329  0.271735  0.332967  0.243380 -0.012498 -0.026366  0.062711  0.010364
Sample_213   0.533452  0.151020  0.123412  0.153227  0.026090 -0.009609  0.045999 -0.023607
Sample_214   0.576896  0.140789  0.222179  0.162294 -0.044610 -0.008402  0.003779  0.005098
Sample_215   0.591816  0.113983  0.388273 -0.090070 -0.074106 -0.083626  0.023146  0.297939
Sample_216   0.584129  0.210117  0.427095  0.023395  0.011305 -0.033813  0.067730  0.047536
Sample_217   0.758161  0.119288  0.610673 -0.054566 -0.010303 -0.065209  0.093354  0.155708
Sample_218   0.495574  0.327180  0.280677  0.333203 -0.033705 -0.035321  0.064432  0.030893
Sample_219   0.265770  0.468691  0.331692  0.099686  0.010502 -0.041972  0.089642  0.021029
Sample_220   0.629843  0.277081  0.335800  0.189808 -0.011007 -0.019468  0.079758  0.051939
Sample_221   0.359522  0.412045  0.110892  0.383839  0.001380 -0.038691  0.186453  0.070792
Sample_222   0.527984  0.341648  0.498293  0.062880 -0.008328 -0.012359  0.088123  0.045605
Sample_223   0.257958  0.658040  0.675661  0.098160 -0.005977 -0.004926  0.068223  0.115838
Sample_224   1.179450 -0.313924  0.478048  0.300984 -0.017552  0.001659  0.182503  0.025429
Sample_225   0.735047  0.103324  0.158970  0.143094 -0.014693 -0.030174 -0.016827  0.004502
Sample_226   0.500658  0.088551  0.273725  0.003396 -0.033435  0.003202  0.044673  0.125487
Sample_227   0.127567  0.457546  0.083342  0.330390 -0.012789 -0.016712  0.026334  0.039187
Sample_228   0.825994  0.094763  0.410730  0.268547  0.010012 -0.011024  0.095664  0.016072
Sample_229   0.693673  0.100337  0.241784  0.488798 -0.009837 -0.032730  0.022242  0.056227
Sample_230   0.838969  0.023432  0.125077  0.371396 -0.005882 -0.027541  0.067874  0.049839
Sample_231   0.557206  0.331105  0.345545  0.343387 -0.012652 -0.030075  0.025915  0.052148
Sample_232   0.610099  0.075733  0.171219  0.224993 -0.011433 -0.015608  0.023652  0.025972
