             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_95         75401.925693               17.957764       75401.925693    0.159737   0.608950              0.671564    -0.666379                0.170370      -0.144088                        1.0                    0.0                59.307692                        1.0         126.551214 -0.751775            59.769231    84721.264823                   1.0
Sample_96         72673.706639               17.532641       72673.706639    0.160113   0.597223              0.697042    -0.682397                0.072289      -0.003219                        1.0                    0.0                60.733333                        1.0         129.494888 -0.737643            62.036708    81655.850157                   1.0
Sample_97         91732.253626               19.843085       91732.253626    0.163454   0.605527              0.685268    -0.681845                0.068625      -0.028425                        1.0                    0.0                60.684211                        1.0         131.160720 -0.826287            60.988837   103069.947895                   1.0
Sample_98         86330.605712               19.811085       86330.605712    0.171832   0.633505              0.678093    -0.677903                0.123166      -0.123166                        1.0                    0.0                60.333333                        1.0         126.711638 -0.789079            60.350306    97000.680575                   1.0
Sample_99         88611.570877               19.757027       88611.570877    0.166942   0.617196              0.705837    -0.695381                0.111415       0.000000                        3.0                    0.0                61.888889                        3.0         129.901988 -0.805941            62.819513    99563.562783                   1.0
Sample_100        74146.774485               17.989676       74146.774485    0.162380   0.620619              0.665028    -0.665028                0.190879      -0.190879                        0.0                    0.0                59.187500                        0.0         125.805583 -0.740083            59.187500    83310.982568                   1.0
Sample_101        75289.859233               18.282357       75289.859233    0.163720   0.628805              0.674621    -0.671660                0.089790      -0.045900                        2.0                    0.0                59.777778                        2.0         126.842973 -0.741115            60.041252    84595.347453                   1.0
Sample_102        78741.795831               18.346845       78741.795831    0.159699   0.605527              0.688705    -0.653593                0.058934       0.000000                        4.0                    0.0                58.169811                        3.0         129.583822 -0.767345            61.294711    88473.927900                   1.0
Sample_103        87157.279657               19.828187       87157.279657    0.177262   0.610350              0.687537    -0.671348                0.171360       0.000000                        2.0                    0.0                59.750000                        2.0         129.583869 -0.786951            61.190799    97929.527705                   1.0
Sample_104        98088.260961               20.646725       98088.260961    0.168581   0.602104              0.684441    -0.652434                0.002052       0.000000                        4.0                    0.0                58.888889                        5.0         132.214590 -0.849134            60.915207   110211.529169                   1.0
